rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.6984,"Координирующий узел. оборот 24.0 млн ₸; связей: 5 входящих, 99 исходящих."
2,100000003016635100,coordinator,0.6453,"Координирующий узел. стоит на путях сети (betweenness 0.0072); связей: 8 входящих, 73 исходящих."
3,100000003684369100,coordinator,0.6228,"Координирующий узел. связей: 24 входящих, 62 исходящих; деньги доходят от 9 seed-клиентов."
4,100000008346837100,coordinator,0.6111,Координирующий узел. стоит на путях сети (betweenness 0.0090); деньги доходят от 7 seed-клиентов.
5,100000008603629100,coordinator,0.6104,"Координирующий узел. связей: 19 входящих, 61 исходящих; стоит на путях сети (betweenness 0.0058)."
6,100000006866783100,coordinator,0.5832,"Координирующий узел. связей: 13 входящих, 67 исходящих; стоит на путях сети (betweenness 0.0060)."
7,100000005910114100,coordinator,0.5416,Координирующий узел. стоит на путях сети (betweenness 0.0058); деньги доходят от 7 seed-клиентов.
8,100000005933757100,coordinator,0.5358,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0039).
9,100000004400305100,coordinator,0.5323,"Координирующий узел. связей: 7 входящих, 82 исходящих; деньги доходят от 7 seed-клиентов."
10,100000000437046100,coordinator,0.5317,"Координирующий узел. деньги доходят от 7 seed-клиентов; связей: 9 входящих, 42 исходящих."
11,100000002957787100,coordinator,0.5187,Координирующий узел. стоит на путях сети (betweenness 0.0043); деньги доходят от 7 seed-клиентов.
12,100000008477350100,coordinator,0.5123,"Координирующий узел. деньги доходят от 7 seed-клиентов; связей: 11 входящих, 39 исходящих."
13,100000004156082100,coordinator,0.4837,"Координирующий узел. деньги доходят от 7 seed-клиентов; связей: 5 входящих, 26 исходящих."
14,100000005704413100,coordinator,0.4835,"Координирующий узел. деньги доходят от 7 seed-клиентов; связей: 3 входящих, 32 исходящих."
15,100000008636603100,coordinator,0.4778,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0035).
16,100000005382566100,consolidator,0.4745,Точка консолидации. деньги доходят от 14 seed-клиентов; влияние с учётом сумм (pagerank 0.0021).
17,100000004403675100,coordinator,0.4731,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0028).
18,100000004351795100,coordinator,0.4705,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0024).
19,100000007639767100,coordinator,0.4649,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0025).
20,100000004569484100,coordinator,0.4634,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0028).
21,100000004070318100,coordinator,0.4592,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0021).
22,100000004188160100,coordinator,0.4565,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0025).
23,100000008165763100,coordinator,0.4513,"Координирующий узел. деньги доходят от 9 seed-клиентов; связей: 15 входящих, 17 исходящих."
24,100000008104567100,coordinator,0.4508,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0020).
25,100000001857829100,coordinator,0.4496,Координирующий узел. деньги доходят от 7 seed-клиентов; стоит на путях сети (betweenness 0.0020).
