removed_top_n,components,largest_component,reachable_from_seeds,reachable_share,flow_removed_kzt,flow_removed_share
0,35,1877,2248,1.0,0.0,0.0
1,93,1782,2150,0.9564,23986010.0,0.0656
5,207,1582,1893,0.8421,54740621.0,0.1496
10,315,1414,1480,0.6584,79597450.0,0.2175
20,414,1232,1074,0.4778,91531355.74,0.2502
50,650,1006,830,0.3692,133865489.99,0.3659
